Names_to_Keep,Names_to_Replace
Alex Beregszaszi,Alex
Alexey Akhunov,Alexi
Ales Katona,Aleš Katona
Bo Ye,Bo
Boqin Qin,Boqin Qin(? ??)
Bruno kvorc,Bruno ?kvorc
Christian Felde,Christian
Peter Szilagyi,Péter Szilágyi
Gary Rong,gary rong
George Angel,George
jiang,J1ang
James Cunningham,James
John Adler,John
Justin Clark-Casey,Justin
Matt Condon,Matt
Mihai Onila,Mihai
Nathan (Blaise) Bruer,Nathan
Nicholas,Nicholas Johnson
Nicolas Feignon,Nicholas
Noel Maersk,noel
Paul Berg,Paul
Roberto Bayardo,Rob
Sean Anderson,Sean
Shawn Zheng,shawn
Vlad Bokov,Vlad
Yan Ji,Yan
Zach Burks,Zach
