release,ann_date,block_date,link
Homestead,29-Feb-16,Mar-14-2016 06:49:53 PM +UTC,https://blog.ethereum.org/2016/02/29/homestead-release
DAO,15-Jul-16,Jul-20-2016 01:20:40 PM +UTC,https://blog.ethereum.org/2016/07/15/to-fork-or-not-to-fork
Tangerine whistle,13-Oct-16,Oct-18-2016 01:19:31 PM +UTC,https://blog.ethereum.org/2016/10/13/announcement-imminent-hard-fork-eip150-gas-cost-changes/
Spurious Dragon,18-Nov-16,Nov-22-2016 04:15:44 PM +UTC,https://blog.ethereum.org/2016/11/18/hard-fork-no-4-spurious-dragon
Byzantium,12-Oct-17,Oct-16-2017 05:22:11 AM +UTC,https://blog.ethereum.org/2017/10/12/byzantium-hf-announcement
Constantinople,22-Feb-19,Feb-28-2019 07:52:04 PM +UTC,https://blog.ethereum.org/2019/02/22/ethereum-constantinople-st-petersburg-upgrade-announcement/
Istanbul,20-Nov-19,Dec-08-2019 12:25:09 AM +UTC,https://blog.ethereum.org/2019/11/20/ethereum-istanbul-upgrade-announcement
Muir Glacier,23-Dec-19,Jan-02-2020 08:30:49 AM +UTC,https://blog.ethereum.org/2019/12/23/ethereum-muir-glacier-upgrade-announcement
Berlin,8-Mar-21,Apr-15-2021 10:07:03 AM +UTC,https://blog.ethereum.org/2021/03/08/ethereum-berlin-upgrade-announcement
London,15-Jul-21,Aug-05-2021 12:33:42 PM +UTC,https://blog.ethereum.org/2021/07/15/london-mainnet-announcement#london
Altair,5-Oct-21,Oct-27-2021 10:56:23 AM +UTC,https://blog.ethereum.org/2021/10/05/altair-announcement
Arrow Glacier,10-Nov-21,Dec-09-2021 07:55:23 PM +UTC,https://blog.ethereum.org/2021/11/10/arrow-glacier-announcement
Gray Glacier,16-Jun-22,Jun-30-2022 10:54:04 AM +UTC,https://blog.ethereum.org/2022/06/16/gray-glacier-announcement
Bellatrix/Paris,24-Aug-22,Sep-06-2022 11:34:47 AM +UTC,https://blog.ethereum.org/2022/08/24/mainnet-merge-announcement
Shapella,28-Mar-23,Apr-12-2023 10:27:35 PM +UTC,https://blog.ethereum.org/2023/03/28/shapella-mainnet-announcement
